,parcelid,aircon,num_bathroom,num_bedroom,quality,num_bathroom_calc,area_total_calc,area_live_finished,fips,num_bath,num_garage,area_garage,heating,latitude,longitude,area_lot,num_pool,pooltypeid7,zoning_landuse_county,zoning_landuse,zoning_property,rawcensustractandblock,region_city,region_county,region_neighbor,region_zip,num_room,num_unit,build_year,tax_building,tax_total,tax_year,tax_land,tax_property,censustractandblock,logerror,transactiondate
20,17088994,,1.0,2.0,,1.0,777.0,777.0,6111,1.0,1.0,0.0,,34272866,-119198911,,,,1129,266,,61110015.03,34543.0,2061,,97083.0,4.0,,1990.0,146001.0,243332.0,2016,97331.0,2622.76,61110000000000.0,0.0198,2016-03-30
21,17088994,,1.0,2.0,,1.0,777.0,777.0,6111,1.0,1.0,0.0,,34272866,-119198911,,,,1129,266,,61110015.03,34543.0,2061,,97083.0,4.0,,1990.0,146001.0,243332.0,2016,97331.0,2622.76,61110000000000.0,0.0166367937,2017-04-19
22,17091430,,2.5,5.0,,2.5,1718.0,1718.0,6111,2.0,2.0,504.0,,34275619,-119177647,7275.0,,,1111,261,,61110014.012004,34543.0,2061,761221.0,97084.0,7.0,,1964.0,169065.0,281767.0,2015,112702.0,2988.92,61110014012004.0,0.050096002,2017-09-08
23,17091430,,2.5,5.0,,2.5,1718.0,1718.0,6111,2.0,2.0,504.0,,34275619,-119177647,7275.0,,,1111,261,,61110014.01,34543.0,2061,761221.0,97084.0,7.0,,1964.0,171642.0,286062.0,2016,114420.0,3037.6,61110000000000.0,0.050096002,2017-09-08
24,17100444,,2.0,3.0,,2.0,1101.0,1101.0,6111,2.0,2.0,441.0,,34340801,-119079610,6569.0,,,1111,261,,61110007.011007,26965.0,2061,,97113.0,5.0,,1956.0,33619.0,47853.0,2015,14234.0,591.64,61110007011007.0,0.006,2016-05-27
25,17100444,,2.0,3.0,,2.0,1101.0,1101.0,6111,2.0,2.0,441.0,,34340801,-119079610,6569.0,,,1111,261,,61110007.01,26965.0,2061,,97113.0,5.0,,1956.0,34131.0,48581.0,2016,14450.0,615.9,61110000000000.0,0.006,2016-05-27
26,17102429,,1.5,2.0,,1.5,1554.0,1554.0,6111,1.0,2.0,460.0,,34354313,-119076405,7400.0,,,1110,261,,61110008.002013,26965.0,2061,,97113.0,5.0,,1965.0,45609.0,62914.0,2015,17305.0,682.78,61110008002013.0,-0.056600000000000004,2016-06-07
27,17102429,,1.5,2.0,,1.5,1554.0,1554.0,6111,1.0,2.0,460.0,,34354313,-119076405,7400.0,,,1110,261,,61110008.0,26965.0,2061,,97113.0,5.0,,1965.0,46304.0,63872.0,2016,17568.0,714.16,61110000000000.0,-0.056600000000000004,2016-06-07
28,17109604,,2.5,4.0,,2.5,2415.0,2415.0,6111,2.0,2.0,665.0,,34266578,-119165392,6326.0,,,1111,261,,61110014.021006994,34543.0,2061,,97084.0,8.0,,1984.0,277000.0,554000.0,2015,277000.0,5886.92,61110014021007.0,0.057300000000000004,2016-08-08
29,17109604,,2.5,4.0,,2.5,2415.0,2415.0,6111,2.0,2.0,665.0,,34266578,-119165392,6326.0,,,1111,261,,61110014.02,34543.0,2061,,97084.0,8.0,,1984.0,289000.0,579000.0,2016,290000.0,6155.16,61110000000000.0,0.057300000000000004,2016-08-08
30,17125829,,2.5,4.0,,2.5,2882.0,2882.0,6111,2.0,2.0,473.0,,34240014,-119024793,10000.0,,,1111,261,,61110052.022034,51239.0,2061,,97089.0,8.0,,1980.0,222070.0,289609.0,2015,67539.0,3110.44,61110052022034.0,0.056400000000000006,2016-08-26
31,17125829,,2.5,4.0,,2.5,2882.0,2882.0,6111,2.0,2.0,473.0,,34240014,-119024793,10000.0,,,1111,261,,61110052.02,51239.0,2061,,97089.0,8.0,,1980.0,225456.0,294024.0,2016,68568.0,3218.76,61110100000000.0,0.056400000000000006,2016-08-26
32,17126991,,2.0,3.0,,2.0,1496.0,1496.0,6111,2.0,1.0,0.0,,34223829,-119072641,3920.0,,,1129,266,,61110052.052027,51239.0,2061,,97089.0,6.0,,1975.0,120500.0,345000.0,2015,224500.0,3746.9,61110052052027.0,0.004076093,2017-04-28
33,17126991,,2.0,3.0,,2.0,1496.0,1496.0,6111,2.0,1.0,0.0,,34223829,-119072641,3920.0,,,1129,266,,61110052.05,51239.0,2061,,97089.0,6.0,,1975.0,122337.0,350260.0,2016,227923.0,3786.48,61110100000000.0,0.004076093,2017-04-28
34,17132911,,2.0,3.0,,2.0,1772.0,1772.0,6111,2.0,2.0,467.0,,34226842,-119059815,8059.0,,,1111,261,,61110055.03201,51239.0,2061,,97089.0,6.0,,1978.0,185000.0,526000.0,2015,341000.0,5632.2,61110055032010.0,0.0315,2016-07-08
35,17132911,,2.0,3.0,,2.0,1772.0,1772.0,6111,2.0,2.0,467.0,,34226842,-119059815,8059.0,,,1111,261,,61110055.03,51239.0,2061,,97089.0,6.0,,1978.0,202000.0,575000.0,2016,373000.0,6128.34,61110100000000.0,0.0315,2016-07-08
36,17134926,,2.5,5.0,,2.5,2632.0,2632.0,6111,2.0,2.0,440.0,,34229816,-119050224,7602.0,1.0,1.0,1111,261,,61110055.041004,51239.0,2061,,97089.0,8.0,,1971.0,342611.0,571086.0,2015,228475.0,6109.94,61110055041004.0,0.0257,2016-05-11
37,17134926,,2.5,5.0,,2.5,2632.0,2632.0,6111,2.0,2.0,440.0,,34229816,-119050224,7602.0,1.0,1.0,1111,261,,61110055.04,51239.0,2061,,97089.0,8.0,,1971.0,347835.0,579793.0,2016,231958.0,6175.68,61110100000000.0,0.0257,2016-05-11
38,17139988,,2.0,3.0,,2.0,1292.0,1292.0,6111,2.0,2.0,494.0,,34226351,-118983853,7405.0,,,1111,261,,61110053.041014,51239.0,2061,,97091.0,6.0,,1979.0,231297.0,462594.0,2015,231297.0,5026.4,61110053041014.0,0.002,2016-06-15
39,17139988,,2.0,3.0,,2.0,1292.0,1292.0,6111,2.0,2.0,494.0,,34226351,-118983853,7405.0,,,1111,261,,61110053.04,51239.0,2061,,97091.0,6.0,,1979.0,234823.0,469646.0,2016,234823.0,5079.54,61110100000000.0,0.002,2016-06-15
40,17144430,,3.0,4.0,,3.0,2924.0,2924.0,6111,3.0,2.0,713.0,,34230389,-118982630,25444.0,1.0,1.0,1111,261,,61110053.061004005,51239.0,2061,,97091.0,8.0,,1994.0,600129.0,1000215.0,2015,400086.0,10698.48,61110053061004.0,0.015568891500000001,2017-03-31
41,17144430,,3.0,4.0,,3.0,2924.0,2924.0,6111,3.0,2.0,713.0,,34230389,-118982630,25444.0,1.0,1.0,1111,261,,61110053.06,51239.0,2061,,97091.0,8.0,,1994.0,609280.0,1015466.0,2016,406186.0,10812.74,61110100000000.0,0.015568891500000001,2017-03-31
42,17157638,,2.0,3.0,,2.0,1138.0,1138.0,6111,2.0,2.0,462.0,,34189442,-119238780,4000.0,,,1110,261,,61110036.09106,13150.0,2061,117148.0,97106.0,5.0,,1973.0,80000.0,595000.0,2015,515000.0,7246.74,61110036091060.0,0.040747811700000004,2017-07-06
43,17157638,,2.0,3.0,,2.0,1138.0,1138.0,6111,2.0,2.0,462.0,,34189442,-119238780,4000.0,,,1110,261,,61110036.09,13150.0,2061,117148.0,97106.0,5.0,,1973.0,86000.0,643000.0,2016,557000.0,7630.08,61110000000000.0,0.040747811700000004,2017-07-06
44,17162450,,2.0,4.0,,2.0,1260.0,1260.0,6111,2.0,2.0,420.0,,34202201,-119160060,4407.0,,,1111,261,,61110091.001004,13150.0,2061,,97101.0,6.0,,1964.0,63381.0,90884.0,2015,27503.0,1141.68,61110091001004.0,0.06626729320000001,2017-05-12
45,17162450,,2.0,4.0,,2.0,1260.0,1260.0,6111,2.0,2.0,420.0,,34202201,-119160060,4407.0,,,1111,261,,61110091.0,13150.0,2061,,97101.0,6.0,,1964.0,64346.0,92268.0,2016,27922.0,1130.1,61110100000000.0,0.06626729320000001,2017-05-12
46,17164458,,2.5,2.0,,2.5,1077.0,1077.0,6111,2.0,2.0,0.0,,34193241,-119179142,,,,1129,266,,61110086.003017,13150.0,2061,,97101.0,4.0,,1992.0,91663.0,183327.0,2015,91664.0,2176.44,61110086003017.0,0.14817156450000002,2017-08-03
47,17164458,,2.5,2.0,,2.5,1077.0,1077.0,6111,2.0,2.0,0.0,,34193241,-119179142,,,,1129,266,,61110086.0,13150.0,2061,,97101.0,4.0,,1992.0,93060.0,186121.0,2016,93061.0,2155.12,61110100000000.0,0.14817156450000002,2017-08-03
48,17167359,,1.0,3.0,,1.0,1385.0,1385.0,6111,1.0,1.0,253.0,,34179289,-119169287,6000.0,,,1111,261,,61110039.002008,13150.0,2061,,97104.0,6.0,,1950.0,134251.0,268502.0,2015,134251.0,3217.06,61110039002008.0,-0.057600000000000005,2016-05-27
49,17167359,,1.0,3.0,,1.0,1385.0,1385.0,6111,1.0,1.0,253.0,,34179289,-119169287,6000.0,,,1111,261,,61110039.0,13150.0,2061,,97104.0,6.0,,1950.0,136298.0,272596.0,2016,136298.0,3184.88,61110000000000.0,-0.057600000000000005,2016-05-27
50,17173828,,2.0,2.0,,2.0,1286.0,1286.0,6111,2.0,1.0,0.0,,34143206,-119191746,,,,1129,266,,61110044.004011,47198.0,2061,,97109.0,4.0,,1987.0,134271.0,223783.0,2015,89512.0,2535.56,61110044004011.0,-0.005828720700000001,2017-03-07
51,17173828,,2.0,2.0,,2.0,1286.0,1286.0,6111,2.0,1.0,0.0,,34143206,-119191746,,,,1129,266,,61110044.0,47198.0,2061,,97109.0,4.0,,1987.0,136318.0,227194.0,2016,90876.0,2599.94,61110000000000.0,-0.005828720700000001,2017-03-07
52,17173851,,2.0,4.0,,2.0,1848.0,1848.0,6111,2.0,,,,34153345,-119194015,11396.0,,,1110,261,,61110044.003006,47198.0,2061,,97109.0,6.0,,1952.0,46485.0,63741.0,2015,17256.0,761.8,61110044003006.0,0.08846863960000001,2017-01-03
53,17173851,,2.0,4.0,,2.0,1848.0,1848.0,6111,2.0,,,,34153345,-119194015,11396.0,,,1110,261,,61110044.0,47198.0,2061,,97109.0,6.0,,1952.0,47193.0,64712.0,2016,17519.0,781.0,61110000000000.0,0.08846863960000001,2017-01-03
54,17179760,,2.0,4.0,,2.0,1260.0,1260.0,6111,2.0,2.0,483.0,,34200478,-119156509,4860.0,,,1111,261,,61110049.022008,13150.0,2061,,97101.0,6.0,,1969.0,42257.0,61453.0,2015,19196.0,702.4,61110049022008.0,-0.0131,2016-10-07
55,17179760,,2.0,4.0,,2.0,1260.0,1260.0,6111,2.0,2.0,483.0,,34200478,-119156509,4860.0,,,1111,261,,61110049.02,13150.0,2061,,97101.0,6.0,,1969.0,42901.0,62388.0,2016,19487.0,696.76,61110000000000.0,-0.0131,2016-10-07
56,17198685,,2.5,4.0,,2.5,2735.0,2735.0,6111,2.0,2.0,438.0,,34267854,-118883528,7000.0,,,1111,261,,61110076.091002,25974.0,2061,,97097.0,8.0,,1984.0,239850.0,399742.0,2015,159892.0,4595.36,61110076091002.0,-0.0212,2016-05-20
57,17198685,,2.5,4.0,,2.5,2735.0,2735.0,6111,2.0,2.0,438.0,,34267854,-118883528,7000.0,,,1111,261,,61110076.09,25974.0,2061,,97097.0,8.0,,1984.0,243507.0,405836.0,2016,162329.0,4657.42,61110100000000.0,-0.0212,2016-05-20
58,17212207,,2.0,5.0,,2.0,2085.0,2085.0,6111,2.0,2.0,456.0,,34199102,-118882964,10800.0,1.0,1.0,1111,261,,61110067.002012,34278.0,2061,,96383.0,9.0,,1962.0,230000.0,657000.0,2015,427000.0,6991.06,61110067002012.0,0.0834,2016-03-17
59,17212207,,2.0,5.0,,2.0,2085.0,2085.0,6111,2.0,2.0,456.0,,34199102,-118882964,10800.0,1.0,1.0,1111,261,,61110067.0,34278.0,2061,,96383.0,9.0,,1962.0,192000.0,550000.0,2016,358000.0,5885.46,61110100000000.0,0.0834,2016-03-17
60,17213052,,2.0,2.0,,2.0,927.0,927.0,6111,2.0,1.0,0.0,,34190900,-118884000,2178.0,,,1129,266,,61110069.002013,34278.0,2061,,96383.0,4.0,,1974.0,94407.0,157343.0,2015,62936.0,1640.42,61110069002013.0,0.2060303087,2017-04-07
61,17213052,,2.0,2.0,,2.0,927.0,927.0,6111,2.0,1.0,0.0,,34190900,-118884000,2178.0,,,1129,266,,61110069.0,34278.0,2061,,96383.0,4.0,,1974.0,95846.0,159741.0,2016,63895.0,1670.34,61110100000000.0,0.2060303087,2017-04-07
62,17213421,,3.0,3.0,,3.0,1508.0,1508.0,6111,3.0,2.0,0.0,,34194016,-118891725,1306.0,,,1129,266,,61110067.002021,34278.0,2061,,96383.0,6.0,,1981.0,142797.0,407991.0,2015,265194.0,4267.96,61110067002021.0,-0.029400000000000003,2016-05-18
63,17213421,,3.0,3.0,,3.0,1508.0,1508.0,6111,3.0,2.0,0.0,,34194016,-118891725,1306.0,,,1129,266,,61110067.0,34278.0,2061,,96383.0,6.0,,1981.0,144973.0,414210.0,2016,269237.0,4344.8,61110100000000.0,-0.029400000000000003,2016-05-18
64,17217418,,3.0,3.0,,3.0,2109.0,2109.0,6111,3.0,2.0,0.0,,34214933,-118819556,,,,1129,266,,61110075.09100799,34278.0,2061,,96385.0,7.0,,1996.0,239073.0,683066.0,2015,443993.0,7241.34,61110075091008.0,0.0041495218,2017-05-24
65,17217418,,3.0,3.0,,3.0,2109.0,2109.0,6111,3.0,2.0,0.0,,34214933,-118819556,,,,1129,266,,61110075.09,34278.0,2061,,96385.0,7.0,,1996.0,242718.0,693481.0,2016,450763.0,7372.52,61110100000000.0,0.0041495218,2017-05-24
66,17225949,,4.5,5.0,,4.5,3034.0,3034.0,6111,4.0,2.0,627.0,,34234233,-118795417,7266.0,,,1111,261,,61110075.073012,27110.0,2061,,97118.0,9.0,,2000.0,336164.0,670595.0,2015,334431.0,7530.42,61110075073012.0,-0.0236566752,2017-05-26
67,17225949,,4.5,5.0,,4.5,3034.0,3034.0,6111,4.0,2.0,627.0,,34234233,-118795417,7266.0,,,1111,261,,61110075.07,27110.0,2061,,97118.0,9.0,,2000.0,341290.0,680820.0,2016,339530.0,7678.78,61110100000000.0,-0.0236566752,2017-05-26
68,17228134,,2.0,3.0,,2.0,1888.0,1888.0,6111,2.0,2.0,653.0,,34284801,-118733914,7928.0,,,1111,261,,61110085.001013,27110.0,2061,,97116.0,7.0,,1981.0,157977.0,243031.0,2015,85054.0,3303.64,61110085001013.0,0.0052777141,2017-04-10
69,17228134,,2.0,3.0,,2.0,1888.0,1888.0,6111,2.0,2.0,653.0,,34284801,-118733914,7928.0,,,1111,261,,61110085.0,27110.0,2061,,97116.0,7.0,,1981.0,160385.0,246735.0,2016,86350.0,3376.96,61110100000000.0,0.0052777141,2017-04-10
70,17234977,,2.0,3.0,,2.0,1452.0,1452.0,6111,2.0,2.0,400.0,,34278788,-118712923,7267.0,,,1111,261,,61110082.011004,27110.0,2061,,97116.0,6.0,,1959.0,37701.0,52954.0,2015,15253.0,917.96,61110082011004.0,0.3688845432,2017-06-12
71,17234977,,2.0,3.0,,2.0,1452.0,1452.0,6111,2.0,2.0,400.0,,34278788,-118712923,7267.0,,,1111,261,,61110082.01,27110.0,2061,,97116.0,6.0,,1959.0,38275.0,53760.0,2016,15485.0,957.94,61110100000000.0,0.3688845432,2017-06-12
72,17239984,,2.0,4.0,,2.0,1891.0,1891.0,6111,2.0,2.0,440.0,,34299904,-118701489,8692.0,,,1111,261,,61110084.02103101,27110.0,2061,,97116.0,7.0,,1976.0,90946.0,109725.0,2015,18779.0,1605.78,61110084021031.0,0.018889666000000003,2017-08-24
73,17239984,,2.0,4.0,,2.0,1891.0,1891.0,6111,2.0,2.0,440.0,,34299904,-118701489,8692.0,,,1111,261,,61110084.02,27110.0,2061,,97116.0,7.0,,1976.0,92332.0,111396.0,2016,19064.0,1655.82,61110100000000.0,0.018889666000000003,2017-08-24
74,17250387,,2.5,5.0,,2.5,1958.0,1958.0,6111,2.0,2.0,498.0,,34265106,-118747187,9687.0,,,1111,261,,61110080.044003,27110.0,2061,,97118.0,7.0,,1964.0,136437.0,201400.0,2015,64963.0,2512.42,61110080044003.0,0.009000000000000001,2016-05-27
75,17250387,,2.5,5.0,,2.5,1958.0,1958.0,6111,2.0,2.0,498.0,,34265106,-118747187,9687.0,,,1111,261,,61110080.04,27110.0,2061,,97118.0,7.0,,1964.0,138516.0,204469.0,2016,65953.0,2578.44,61110100000000.0,0.009000000000000001,2016-05-27
76,17254534,,2.0,4.0,,2.0,1687.0,1687.0,6111,2.0,2.0,400.0,,34278739,-118744589,8106.0,,,1111,261,,61110079.045001,27110.0,2061,,97118.0,7.0,,1961.0,170705.0,311415.0,2015,140710.0,3763.38,61110079045001.0,0.057300000000000004,2016-04-13
77,17254534,,2.0,4.0,,2.0,1687.0,1687.0,6111,2.0,2.0,400.0,,34278739,-118744589,8106.0,,,1111,261,,61110079.05,27110.0,2061,,97118.0,7.0,,1961.0,173308.0,316163.0,2016,142855.0,3848.8,61110100000000.0,0.057300000000000004,2016-04-13
78,17260270,,2.5,5.0,,2.5,2232.0,2232.0,6111,2.0,2.0,632.0,,34276919,-118664161,6500.0,,,1111,261,,61110083.021006994,27110.0,2061,,97116.0,9.0,,1965.0,225950.0,451900.0,2015,225950.0,5185.66,61110083021007.0,-0.0151,2016-07-06
79,17260270,,2.5,5.0,,2.5,2232.0,2232.0,6111,2.0,2.0,632.0,,34276919,-118664161,6500.0,,,1111,261,,61110083.02,27110.0,2061,,97116.0,9.0,,1965.0,229395.0,458790.0,2016,229395.0,5295.66,61110100000000.0,-0.0151,2016-07-06
80,17261131,,1.0,2.0,,1.0,834.0,834.0,6111,1.0,1.0,0.0,,34273525,-118674868,3049.0,,,1129,266,,61110083.022024,27110.0,2061,,97116.0,4.0,,1976.0,94858.0,158096.0,2015,63238.0,1991.34,61110083022024.0,0.0843,2016-12-29
81,17261131,,1.0,2.0,,1.0,834.0,834.0,6111,1.0,1.0,0.0,,34273525,-118674868,3049.0,,,1129,266,,61110083.02,27110.0,2061,,97116.0,4.0,,1976.0,96304.0,160505.0,2016,64201.0,2040.48,61110100000000.0,0.0843,2016-12-29
82,17268484,,2.5,4.0,,2.5,2819.0,2819.0,6111,2.0,2.0,484.0,,34202808,-118904751,19550.0,1.0,1.0,1110,261,,61110062.00101,34278.0,2061,,96383.0,8.0,,1967.0,211359.0,602681.0,2015,391322.0,6362.52,61110062001010.0,0.033174364500000005,2017-06-08
83,17268484,,2.5,4.0,,2.5,2819.0,2819.0,6111,2.0,2.0,484.0,,34202808,-118904751,19550.0,1.0,1.0,1110,261,,61110062.0,34278.0,2061,,96383.0,8.0,,1967.0,214582.0,611871.0,2016,397289.0,6475.98,61110100000000.0,0.033174364500000005,2017-06-08
84,17271096,,2.0,3.0,,2.0,1814.0,1814.0,6111,2.0,2.0,461.0,,34171654,-118946599,9905.0,,,1111,261,,61110059.012007,34278.0,2061,46736.0,96351.0,6.0,,1979.0,250824.0,501648.0,2015,250824.0,5778.46,61110059012007.0,-0.0067168017,2017-08-30
85,17271096,,2.0,3.0,,2.0,1814.0,1814.0,6111,2.0,2.0,461.0,,34171654,-118946599,9905.0,,,1111,261,,61110059.01,34278.0,2061,46736.0,96351.0,6.0,,1979.0,254648.0,509296.0,2016,254648.0,5886.52,61110100000000.0,-0.0067168017,2017-08-30
86,17274552,,1.0,2.0,,1.0,864.0,864.0,6111,1.0,1.0,360.0,,34183694,-118863013,3494.0,,,1110,261,,61110070.002004005,34278.0,2061,,96383.0,4.0,,1965.0,50000.0,356000.0,2015,306000.0,3800.32,61110070002004.0,0.0024587203000000003,2017-05-19
87,17274552,,1.0,2.0,,1.0,864.0,864.0,6111,1.0,1.0,360.0,,34183694,-118863013,3494.0,,,1110,261,,61110070.0,34278.0,2061,,96383.0,4.0,,1965.0,55000.0,394000.0,2016,339000.0,4210.12,61110100000000.0,0.0024587203000000003,2017-05-19
88,17275640,,2.5,2.0,,2.5,1361.0,1361.0,6111,2.0,2.0,0.0,,34179983,-118848957,1742.0,,,1129,266,,61110071.003003,34278.0,2061,,96385.0,5.0,,1980.0,150363.0,300726.0,2015,150363.0,3216.88,61110071003003.0,0.006,2016-01-11
89,17275640,,2.5,2.0,,2.5,1361.0,1361.0,6111,2.0,2.0,0.0,,34179983,-118848957,1742.0,,,1129,266,,61110071.0,34278.0,2061,,96385.0,5.0,,1980.0,152655.0,305310.0,2016,152655.0,3273.84,61110100000000.0,0.006,2016-01-11
90,17275763,,2.0,2.0,,2.0,917.0,917.0,6111,2.0,2.0,0.0,,34179681,-118850547,,,,1129,266,,61110071.003,34278.0,2061,,96385.0,4.0,,1985.0,126000.0,256000.0,2015,130000.0,2674.64,61110071003000.0,0.0188,2016-09-07
91,17275763,,2.0,2.0,,2.0,917.0,917.0,6111,2.0,2.0,0.0,,34179681,-118850547,,,,1129,266,,61110071.0,34278.0,2061,,96385.0,4.0,,1985.0,148000.0,301000.0,2016,153000.0,3154.98,61110100000000.0,0.0188,2016-09-07
92,17276736,,1.0,2.0,,1.0,907.0,907.0,6111,1.0,1.0,0.0,,34172500,-118844000,,,,1129,266,,61110071.002014,34278.0,2061,,96385.0,4.0,,1985.0,122951.0,204919.0,2015,81968.0,2212.54,61110071002014.0,-0.0408,2016-05-27
93,17276736,,1.0,2.0,,1.0,907.0,907.0,6111,1.0,1.0,0.0,,34172500,-118844000,,,,1129,266,,61110071.0,34278.0,2061,,96385.0,4.0,,1985.0,124825.0,208042.0,2016,83217.0,2251.56,61110100000000.0,-0.0408,2016-05-27
