"Salary","Children","Catalogs","Age_Old","Age_Young","Gender_Male","OwnHome_Rent","Married_Single","Location_Far","History_Low","History_Medium","History_NA","AmountSpent","Amt_Spnt_Class_Low","Amt_Spnt_Class_Med","Amt_Spnt_Class_MidHigh","Amt_Spnt_Class_MidLow"
25900,2,12,0,1,0,0,1,0,NA,NA,1,449,1,0,0,0
15600,1,6,0,1,0,0,1,0,1,0,0,136,1,0,0,0
14600,0,24,1,0,0,0,1,0,1,0,0,468,1,0,0,0
62600,0,6,1,0,0,0,0,0,0,0,0,565,1,0,0,0
66700,0,18,0,1,1,1,0,0,NA,NA,1,1310,0,0,0,1
72500,0,24,0,0,1,0,0,1,NA,NA,1,2595,0,1,0,0
13200,0,24,0,1,0,1,1,1,NA,NA,1,358,1,0,0,0
51300,0,24,0,0,0,0,1,0,0,1,0,1424,0,0,0,1
72300,0,24,0,0,1,0,1,1,0,0,0,4182,0,0,1,0
15600,0,12,0,1,0,1,1,0,NA,NA,1,468,1,0,0,0
90400,1,18,0,0,0,0,0,1,0,0,0,2924,0,1,0,0
71500,0,6,0,0,1,0,1,1,NA,NA,1,964,1,0,0,0
14400,0,24,0,1,1,1,1,0,NA,NA,1,615,1,0,0,0
15000,3,6,0,1,1,1,1,0,1,0,0,38,1,0,0,0
57600,1,6,0,0,1,0,1,0,NA,NA,1,1006,0,0,0,1
60600,3,12,0,1,0,1,0,0,1,0,0,307,1,0,0,0
84300,2,18,0,0,1,0,0,1,0,0,0,1648,0,0,0,1
24400,1,6,0,1,0,0,1,0,1,0,0,220,1,0,0,0
22100,2,18,0,1,0,1,1,0,1,0,0,280,1,0,0,0
48800,2,12,0,0,1,1,0,1,NA,NA,1,1647,0,0,0,1
74700,1,6,0,0,0,0,0,0,0,1,0,704,1,0,0,0
32400,1,24,0,1,0,1,1,1,0,1,0,920,1,0,0,0
11400,0,6,1,0,0,0,1,0,NA,NA,1,258,1,0,0,0
127000,0,12,0,0,1,0,0,0,NA,NA,1,1821,0,0,0,1
47200,0,18,0,0,1,1,1,0,0,1,0,1587,0,0,0,1
48700,2,12,0,0,0,0,1,0,1,0,0,528,1,0,0,0
20400,0,18,0,1,1,1,1,1,0,1,0,867,1,0,0,0
39000,0,6,0,0,1,1,1,0,NA,NA,1,643,1,0,0,0
12900,1,6,0,1,0,1,1,0,1,0,0,107,1,0,0,0
67300,1,18,0,0,0,1,0,1,0,0,0,1513,0,0,0,1
134500,0,24,1,0,1,0,0,0,0,0,0,4558,0,0,0,0
75500,0,6,1,0,1,0,0,0,0,0,0,741,1,0,0,0
33600,2,12,1,0,0,0,0,1,0,1,0,805,1,0,0,0
16300,1,12,0,1,0,1,1,0,NA,NA,1,470,1,0,0,0
27400,1,6,0,1,1,1,0,0,1,0,0,278,1,0,0,0
110400,3,24,0,0,0,0,0,0,1,0,0,1093,0,0,0,1
21100,1,6,0,1,0,1,1,1,1,0,0,470,1,0,0,0
81200,0,24,0,0,1,0,0,0,0,0,0,1856,0,0,0,1
87100,2,18,0,0,1,1,0,1,0,0,0,1688,0,0,0,1
21700,3,24,0,1,0,1,1,1,NA,NA,1,708,1,0,0,0
42200,0,18,0,0,0,1,1,0,NA,NA,1,1753,0,0,0,1
59000,0,24,0,0,1,1,1,1,0,0,0,3044,0,1,0,0
52700,2,18,0,0,0,0,1,0,1,0,0,855,1,0,0,0
20900,0,24,0,1,1,0,1,0,1,0,0,550,1,0,0,0
90700,3,24,0,0,1,0,0,1,0,0,0,2265,0,0,0,1
91800,0,24,1,0,0,0,0,1,NA,NA,1,2452,0,0,0,1
27900,0,18,0,1,0,0,1,1,0,1,0,1184,0,0,0,1
70700,0,24,1,0,0,0,0,0,0,0,0,2150,0,0,0,1
79600,2,6,0,0,1,0,0,0,NA,NA,1,1575,0,0,0,1
96400,1,24,0,0,1,1,0,0,0,0,0,1822,0,0,0,1
46600,2,18,0,0,0,0,1,0,NA,NA,1,1153,0,0,0,1
106600,0,12,1,0,1,0,0,0,0,0,0,1877,0,0,0,1
104900,3,6,0,0,0,1,0,0,1,0,0,450,1,0,0,0
56300,0,6,1,0,1,1,1,0,0,1,0,873,1,0,0,0
14800,1,6,0,1,0,1,1,0,1,0,0,209,1,0,0,0
58300,0,24,1,0,1,0,0,0,0,1,0,1472,0,0,0,1
70200,0,12,0,0,1,0,1,1,0,0,0,1702,0,0,0,1
59700,0,18,1,0,1,0,0,1,0,0,0,1857,0,0,0,1
25800,0,6,0,1,1,1,1,0,NA,NA,1,451,1,0,0,0
12000,0,24,0,1,0,1,1,0,1,0,0,344,1,0,0,0
51900,0,18,0,0,1,1,1,1,0,0,0,1492,0,0,0,1
66800,3,24,0,0,0,0,1,1,NA,NA,1,2098,0,0,0,1
105300,1,18,0,0,1,0,0,0,NA,NA,1,3505,0,0,1,0
13800,3,6,0,1,0,1,1,1,1,0,0,127,1,0,0,0
14800,3,12,0,1,1,1,1,0,NA,NA,1,436,1,0,0,0
44200,0,24,0,0,0,0,0,1,0,0,0,2524,0,1,0,0
10400,0,18,0,1,1,1,1,0,NA,NA,1,189,1,0,0,0
35200,0,12,0,0,0,0,1,0,0,1,0,607,1,0,0,0
16100,0,6,0,1,0,1,1,1,NA,NA,1,202,1,0,0,0
113000,2,18,0,0,1,0,0,0,0,1,0,1554,0,0,0,1
63300,2,6,0,0,1,0,0,0,NA,NA,1,633,1,0,0,0
19100,0,6,0,1,1,1,1,0,NA,NA,1,176,1,0,0,0
93400,2,24,0,0,0,0,0,0,NA,NA,1,3079,0,1,0,0
52500,0,24,1,0,0,1,0,1,0,0,0,2038,0,0,0,1
45400,3,24,0,0,0,1,0,1,0,1,0,1203,0,0,0,1
21400,3,6,0,1,0,0,1,1,NA,NA,1,326,1,0,0,0
53700,3,12,0,0,0,0,1,0,1,0,0,235,1,0,0,0
68000,0,24,0,1,0,0,0,1,0,0,0,3688,0,0,1,0
17400,0,12,0,1,1,1,1,0,NA,NA,1,332,1,0,0,0
14600,1,6,0,1,0,1,1,0,1,0,0,143,1,0,0,0
100100,0,12,1,0,0,0,0,1,0,0,0,3104,0,1,0,0
103700,1,24,0,0,1,0,0,1,0,0,0,2339,0,0,0,1
10800,3,6,0,1,0,1,1,1,1,0,0,123,1,0,0,0
81700,3,24,0,0,0,0,0,0,1,0,0,879,1,0,0,0
21400,0,18,1,0,0,1,1,0,1,0,0,498,1,0,0,0
114800,0,18,1,0,0,0,0,0,0,0,0,3596,0,0,1,0
67900,0,24,1,0,0,0,0,1,0,0,0,2925,0,1,0,0
53700,1,12,0,0,1,0,0,0,NA,NA,1,1081,0,0,0,1
11400,3,12,0,1,0,1,1,1,NA,NA,1,312,1,0,0,0
34300,3,12,0,1,1,1,0,0,NA,NA,1,1297,0,0,0,1
16400,1,12,0,1,0,1,1,0,1,0,0,218,1,0,0,0
109800,0,18,0,0,0,0,0,1,0,0,0,4279,0,0,1,0
64200,0,18,0,0,1,0,1,0,0,0,0,1642,0,0,0,1
17000,0,18,0,1,1,1,1,0,NA,NA,1,581,1,0,0,0
41400,3,6,0,0,0,1,1,0,1,0,0,223,1,0,0,0
49100,2,6,0,0,0,0,1,0,1,0,0,474,1,0,0,0
42600,0,24,1,0,0,0,1,1,0,0,0,1790,0,0,0,1
11900,1,6,0,1,0,1,1,0,1,0,0,143,1,0,0,0
113600,2,18,0,0,1,0,0,1,0,0,0,3237,0,1,0,0
52900,1,24,0,0,1,0,1,0,NA,NA,1,2316,0,0,0,1
14300,1,18,0,1,0,1,1,0,NA,NA,1,458,1,0,0,0
21000,0,24,0,1,1,1,1,0,1,0,0,646,1,0,0,0
59600,2,18,0,0,1,0,1,1,0,1,0,1217,0,0,0,1
39700,3,12,0,0,0,1,1,0,1,0,0,238,1,0,0,0
51200,0,12,1,0,1,0,0,0,0,1,0,1293,0,0,0,1
88200,0,24,0,0,0,0,0,0,NA,NA,1,2749,0,1,0,0
122100,0,12,0,0,1,0,0,1,0,0,0,2408,0,0,0,1
84800,0,18,1,0,0,1,0,0,0,0,0,2624,0,1,0,0
140000,0,12,0,0,1,0,0,1,0,0,0,4894,0,0,0,0
28500,0,24,1,0,0,0,1,0,1,0,0,621,1,0,0,0
60300,0,6,0,0,1,1,1,0,0,0,0,701,1,0,0,0
51900,0,6,0,1,0,1,0,1,NA,NA,1,780,1,0,0,0
60200,0,12,0,0,1,0,1,0,0,1,0,1365,0,0,0,1
81200,0,12,0,0,1,0,0,1,0,0,0,2693,0,1,0,0
73100,0,6,1,0,1,0,0,0,0,0,0,1582,0,0,0,1
45700,0,18,1,0,1,0,1,0,0,1,0,724,1,0,0,0
28900,0,12,1,0,0,1,1,0,1,0,0,830,1,0,0,0
60100,0,18,0,1,0,1,0,0,NA,NA,1,1594,0,0,0,1
84800,1,12,0,0,0,0,0,0,NA,NA,1,1826,0,0,0,1
35000,0,6,1,0,0,0,0,0,0,1,0,473,1,0,0,0
61700,0,12,0,1,0,1,0,0,NA,NA,1,1161,0,0,0,1
46900,0,6,1,0,0,1,0,0,0,1,0,703,1,0,0,0
123600,1,12,0,0,0,0,0,0,NA,NA,1,1892,0,0,0,1
45800,0,6,0,1,1,1,0,0,0,1,0,489,1,0,0,0
77800,1,18,0,0,1,0,0,1,0,0,0,1813,0,0,0,1
48700,1,12,0,0,0,0,1,0,NA,NA,1,1457,0,0,0,1
39000,3,6,0,0,0,1,1,1,1,0,0,292,1,0,0,0
40000,0,6,0,1,0,1,0,0,NA,NA,1,613,1,0,0,0
118300,1,18,0,0,0,1,0,0,NA,NA,1,2681,0,1,0,0
27100,2,24,0,1,0,0,1,0,1,0,0,437,1,0,0,0
91000,2,6,0,0,0,1,0,0,0,1,0,708,1,0,0,0
35300,0,24,0,0,0,0,0,0,0,1,0,1093,0,0,0,1
10200,2,18,0,1,0,1,1,1,1,0,0,213,1,0,0,0
12500,1,6,0,1,0,1,1,0,1,0,0,202,1,0,0,0
64600,0,6,1,0,0,0,1,0,NA,NA,1,1298,0,0,0,1
113800,0,12,0,0,1,0,0,1,NA,NA,1,3273,0,1,0,0
113400,3,18,0,0,1,0,0,1,0,0,0,1790,0,0,0,1
16900,1,6,0,1,0,1,1,0,1,0,0,247,1,0,0,0
13600,1,6,0,1,0,1,1,0,1,0,0,183,1,0,0,0
100100,1,24,0,0,1,0,0,1,0,0,0,3491,0,1,0,0
80000,0,6,1,0,0,0,0,1,0,0,0,1985,0,0,0,1
83900,0,24,0,0,1,0,0,0,0,0,0,1721,0,0,0,1
77000,0,12,0,0,1,0,0,0,0,0,0,2104,0,0,0,1
72900,3,6,0,0,0,1,0,0,1,0,0,252,1,0,0,0
80700,3,6,0,1,1,1,0,0,1,0,0,202,1,0,0,0
40900,1,18,0,1,0,1,0,0,0,1,0,962,1,0,0,0
26700,1,12,0,1,0,1,1,0,NA,NA,1,459,1,0,0,0
54700,0,18,0,0,1,0,0,0,0,1,0,848,1,0,0,0
23600,1,6,1,0,0,1,0,0,1,0,0,161,1,0,0,0
56900,0,24,0,0,1,1,1,1,0,0,0,1857,0,0,0,1
68700,1,24,0,0,1,0,1,1,NA,NA,1,1699,0,0,0,1
19300,1,24,0,1,0,1,1,0,1,0,0,308,1,0,0,0
20200,1,24,0,1,1,1,0,1,1,0,0,500,1,0,0,0
61500,3,24,0,0,0,1,0,1,0,1,0,1162,0,0,0,1
101700,1,24,0,0,0,0,0,1,NA,NA,1,2551,0,1,0,0
120800,1,24,0,0,0,1,0,1,0,0,0,5830,0,0,0,0
17300,1,18,0,1,0,1,1,1,1,0,0,381,1,0,0,0
42300,0,6,0,1,0,1,0,0,NA,NA,1,856,1,0,0,0
53300,0,18,0,0,1,1,1,0,0,1,0,1720,0,0,0,1
42800,0,12,0,0,0,1,1,0,0,1,0,759,1,0,0,0
98400,0,18,0,0,1,0,0,0,0,0,0,3305,0,1,0,0
51200,0,18,0,0,0,0,1,0,0,1,0,1257,0,0,0,1
62200,0,12,1,0,1,0,1,0,NA,NA,1,1583,0,0,0,1
109200,3,24,0,0,1,0,0,0,1,0,0,1102,0,0,0,1
11400,2,6,0,1,0,1,1,0,NA,NA,1,186,1,0,0,0
14000,0,12,0,1,0,1,1,0,1,0,0,229,1,0,0,0
97000,0,24,1,0,0,1,0,0,NA,NA,1,2599,0,1,0,0
29600,3,12,0,1,0,0,1,1,NA,NA,1,774,1,0,0,0
71200,1,12,1,0,1,0,0,0,0,1,0,638,1,0,0,0
15000,0,12,1,0,0,1,1,1,1,0,0,378,1,0,0,0
64000,1,6,0,0,1,1,0,1,NA,NA,1,1552,0,0,0,1
33000,0,12,1,0,1,0,0,1,0,1,0,979,1,0,0,0
74400,0,18,1,0,0,0,0,0,0,0,0,2479,0,0,0,1
20300,2,24,0,1,1,1,1,1,1,0,0,450,1,0,0,0
68700,0,24,0,0,1,1,0,0,0,0,0,2763,0,1,0,0
53600,3,24,0,1,1,1,0,1,0,1,0,1560,0,0,0,1
33200,0,24,1,0,0,0,1,0,0,1,0,1037,0,0,0,1
70900,0,6,0,1,0,0,0,1,NA,NA,1,690,1,0,0,0
23200,3,24,0,1,0,1,1,0,NA,NA,1,770,1,0,0,0
41400,0,18,0,1,1,0,1,0,0,1,0,643,1,0,0,0
63200,0,24,0,1,0,1,0,0,0,0,0,1512,0,0,0,1
107400,0,12,1,0,1,0,0,0,0,0,0,1485,0,0,0,1
13900,0,24,0,1,1,1,1,1,NA,NA,1,570,1,0,0,0
79900,1,18,0,0,0,1,0,0,0,1,0,1165,0,0,0,1
120000,3,18,0,0,1,0,0,1,0,0,0,1926,0,0,0,1
66300,0,18,1,0,1,1,0,1,NA,NA,1,2243,0,0,0,1
54400,3,18,0,0,0,0,1,0,1,0,0,342,1,0,0,0
84200,0,24,0,0,1,0,0,0,0,0,0,1654,0,0,0,1
13800,0,18,0,1,0,1,0,0,1,0,0,363,1,0,0,0
14500,1,6,0,1,0,1,1,1,1,0,0,222,1,0,0,0
21300,0,24,0,1,1,1,1,0,1,0,0,677,1,0,0,0
29000,0,6,1,0,1,1,1,0,1,0,0,482,1,0,0,0
14600,1,24,1,0,0,1,1,0,1,0,0,385,1,0,0,0
65300,0,18,1,0,1,0,1,0,0,0,0,1443,0,0,0,1
100800,1,24,0,0,0,0,0,0,0,0,0,1789,0,0,0,1
19800,1,24,0,1,0,1,1,1,1,0,0,991,1,0,0,0
56700,2,18,0,0,1,0,1,0,1,0,0,536,1,0,0,0
90200,0,18,1,0,1,1,0,0,0,0,0,2183,0,0,0,1
26100,1,6,0,1,1,1,1,0,NA,NA,1,494,1,0,0,0
15900,0,18,0,1,0,1,1,0,1,0,0,503,1,0,0,0
12700,3,12,0,1,0,1,1,0,1,0,0,87,1,0,0,0
43200,0,24,0,0,1,1,1,0,NA,NA,1,917,1,0,0,0
114100,1,24,0,0,0,1,0,0,NA,NA,1,1976,0,0,0,1
96100,3,12,0,0,1,0,0,0,1,0,0,316,1,0,0,0
97200,0,12,0,0,1,0,0,0,NA,NA,1,1634,0,0,0,1
82400,2,24,0,0,1,0,0,1,0,0,0,2035,0,0,0,1
62000,0,24,1,0,1,0,1,1,0,0,0,3293,0,1,0,0
13400,1,12,0,1,0,1,1,0,1,0,0,143,1,0,0,0
108200,3,12,0,0,1,0,0,0,1,0,0,635,1,0,0,0
76200,0,12,0,1,0,0,0,0,0,0,0,979,1,0,0,0
81800,1,18,0,0,1,1,0,0,0,0,0,1838,0,0,0,1
12000,0,6,0,1,0,1,1,1,1,0,0,264,1,0,0,0
76100,0,6,0,0,1,0,0,0,NA,NA,1,719,1,0,0,0
82100,1,18,0,0,1,0,0,0,0,0,0,1308,0,0,0,1
103300,0,24,1,0,0,0,0,0,0,0,0,3378,0,1,0,0
14200,1,24,0,1,1,1,1,0,NA,NA,1,400,1,0,0,0
47500,0,6,0,0,0,0,1,1,0,0,0,847,1,0,0,0
31300,1,6,0,1,0,1,1,0,1,0,0,357,1,0,0,0
32700,1,18,0,1,0,1,0,1,NA,NA,1,1276,0,0,0,1
72200,0,24,0,0,1,0,0,0,0,0,0,2492,0,0,0,1
107600,2,12,0,0,0,0,0,0,0,1,0,1512,0,0,0,1
109900,2,12,0,0,1,0,0,0,0,1,0,870,1,0,0,0
65400,2,24,0,0,0,0,0,0,0,1,0,938,1,0,0,0
43300,0,12,1,0,0,0,1,0,NA,NA,1,1584,0,0,0,1
51900,0,12,1,0,0,0,1,0,0,1,0,1148,0,0,0,1
80600,0,24,0,0,0,0,0,1,0,0,0,2840,0,1,0,0
42700,0,12,0,0,0,1,1,0,0,1,0,827,1,0,0,0
19000,0,12,0,1,1,1,1,1,NA,NA,1,428,1,0,0,0
14500,1,6,0,1,0,1,1,0,1,0,0,183,1,0,0,0
68200,1,6,0,0,0,0,0,0,NA,NA,1,818,1,0,0,0
36700,0,12,0,1,1,1,0,0,0,1,0,731,1,0,0,0
54600,0,24,1,0,1,0,0,1,0,0,0,2163,0,0,0,1
65900,1,12,0,0,1,0,0,0,0,1,0,1081,0,0,0,1
39600,0,12,0,1,1,0,1,1,NA,NA,1,1085,0,0,0,1
67300,3,6,0,1,1,1,0,1,NA,NA,1,1212,0,0,0,1
59700,1,18,0,0,1,0,1,0,NA,NA,1,1422,0,0,0,1
102800,2,18,0,0,0,0,0,1,0,0,0,2238,0,0,0,1
34700,0,18,0,0,0,1,1,0,NA,NA,1,1615,0,0,0,1
50600,3,6,0,0,1,0,1,0,NA,NA,1,713,1,0,0,0
106700,2,6,0,0,1,1,0,0,0,1,0,607,1,0,0,0
53900,1,6,0,0,1,1,1,0,0,1,0,735,1,0,0,0
25500,2,6,0,1,0,1,0,0,1,0,0,139,1,0,0,0
46300,1,18,0,1,1,1,0,1,0,1,0,1357,0,0,0,1
55500,0,18,1,0,1,0,0,0,0,1,0,858,1,0,0,0
27800,3,12,0,1,0,0,1,0,NA,NA,1,408,1,0,0,0
118600,1,12,0,0,1,0,0,0,NA,NA,1,1553,0,0,0,1
130700,3,6,0,0,0,0,0,0,NA,NA,1,2070,0,0,0,1
42800,0,12,1,0,1,1,1,0,0,1,0,922,1,0,0,0
118300,1,12,0,0,0,0,0,1,0,0,0,2502,0,1,0,0
25600,2,18,0,1,0,1,1,1,NA,NA,1,426,1,0,0,0
63500,2,24,0,0,1,1,0,0,NA,NA,1,2321,0,0,0,1
30900,0,18,1,0,0,0,1,0,0,1,0,862,1,0,0,0
55900,1,24,0,0,1,0,1,0,NA,NA,1,2555,0,1,0,0
53900,0,12,0,0,1,0,1,1,NA,NA,1,1186,0,0,0,1
84300,0,24,1,0,1,0,0,0,0,0,0,2842,0,1,0,0
53400,1,12,1,0,1,0,1,0,0,1,0,886,1,0,0,0
96900,1,12,0,0,1,0,0,0,0,0,0,1420,0,0,0,1
55800,1,6,0,0,1,1,1,1,NA,NA,1,821,1,0,0,0
25900,1,6,0,1,0,1,0,0,1,0,0,242,1,0,0,0
22000,1,12,0,1,0,1,1,0,1,0,0,472,1,0,0,0
96700,2,12,0,0,0,1,0,0,0,1,0,1231,0,0,0,1
40200,1,12,0,0,0,1,1,0,NA,NA,1,881,1,0,0,0
26800,0,12,1,0,1,0,0,0,1,0,0,435,1,0,0,0
16700,2,12,0,1,0,1,1,0,1,0,0,108,1,0,0,0
40900,2,18,0,1,0,1,0,0,1,0,0,576,1,0,0,0
41500,3,24,0,1,1,1,0,1,NA,NA,1,1314,0,0,0,1
20900,0,6,0,1,1,1,1,0,NA,NA,1,296,1,0,0,0
69700,2,6,0,1,0,1,0,0,0,1,0,584,1,0,0,0
61800,0,24,0,0,1,1,1,0,0,0,0,1156,0,0,0,1
102500,1,24,0,0,1,0,0,0,0,0,0,2464,0,0,0,1
48900,3,18,0,0,0,0,0,0,NA,NA,1,915,1,0,0,0
60300,0,24,0,0,1,0,1,0,NA,NA,1,2091,0,0,0,1
41600,0,24,0,1,1,1,0,1,0,0,0,1690,0,0,0,1
73700,1,12,0,0,1,0,1,0,0,1,0,1274,0,0,0,1
27000,1,24,0,1,0,1,1,0,NA,NA,1,1012,0,0,0,1
43700,0,12,0,0,0,1,1,0,0,1,0,950,1,0,0,0
10200,2,12,0,1,1,1,1,0,NA,NA,1,333,1,0,0,0
63300,2,24,0,0,0,0,0,0,0,1,0,679,1,0,0,0
33200,2,12,0,1,0,0,1,1,0,1,0,607,1,0,0,0
78800,0,18,1,0,0,0,0,1,0,0,0,3398,0,1,0,0
82500,0,6,0,0,1,0,0,0,0,0,0,859,1,0,0,0
80800,2,18,0,0,1,0,1,1,0,0,0,2444,0,0,0,1
88100,2,24,0,0,1,0,0,0,0,1,0,1078,0,0,0,1
124800,3,18,0,0,1,1,0,1,0,0,0,2537,0,1,0,0
31900,0,6,0,1,1,0,1,0,0,1,0,616,1,0,0,0
53300,3,6,0,0,0,0,1,0,NA,NA,1,508,1,0,0,0
15400,0,6,1,0,1,0,0,1,1,0,0,297,1,0,0,0
70200,0,6,0,0,1,0,0,0,NA,NA,1,1583,0,0,0,1
23000,3,6,0,1,0,1,1,0,1,0,0,79,1,0,0,0
82400,2,18,0,0,0,0,0,0,0,1,0,657,1,0,0,0
97900,0,24,0,0,0,0,0,0,0,0,0,2149,0,0,0,1
88400,0,18,1,0,0,1,0,1,0,0,0,3632,0,0,1,0
86900,0,18,0,0,0,0,0,0,0,0,0,2230,0,0,0,1
45100,1,12,0,0,0,0,1,0,0,1,0,448,1,0,0,0
41800,3,24,0,0,1,1,1,0,1,0,0,301,1,0,0,0
74800,0,18,1,0,1,0,0,0,0,0,0,1968,0,0,0,1
73000,1,6,0,0,0,1,0,0,0,1,0,490,1,0,0,0
118500,1,24,0,0,1,0,0,0,0,0,0,3063,0,1,0,0
65300,3,6,0,0,1,0,1,0,1,0,0,193,1,0,0,0
66300,2,12,0,0,0,1,0,0,0,1,0,544,1,0,0,0
103900,1,24,0,0,1,0,0,1,0,0,0,2666,0,1,0,0
71900,0,18,0,0,0,0,0,0,0,0,0,1846,0,0,0,1
86100,1,12,0,0,1,0,0,1,NA,NA,1,1255,0,0,0,1
96300,1,12,0,0,1,0,0,0,0,0,0,1081,0,0,0,1
10200,3,6,0,1,0,1,1,0,NA,NA,1,199,1,0,0,0
96300,2,18,0,0,1,0,0,0,NA,NA,1,3916,0,0,1,0
24000,1,6,1,0,0,0,1,1,1,0,0,357,1,0,0,0
46700,0,24,0,0,0,1,0,0,0,1,0,983,1,0,0,0
53700,2,12,0,0,0,1,1,0,NA,NA,1,1194,0,0,0,1
108300,2,12,0,0,1,1,0,0,NA,NA,1,2224,0,0,0,1
12100,1,6,0,1,0,1,1,0,1,0,0,90,1,0,0,0
36600,0,6,0,1,1,1,0,0,NA,NA,1,587,1,0,0,0
66300,0,12,1,0,1,0,0,0,0,0,0,1088,0,0,0,1
33400,1,6,0,1,0,0,1,0,NA,NA,1,617,1,0,0,0
70000,1,6,0,0,1,0,0,1,NA,NA,1,1227,0,0,0,1
47900,1,24,0,0,0,0,1,0,0,1,0,662,1,0,0,0
40500,2,18,0,0,0,1,0,0,1,0,0,622,1,0,0,0
69100,0,12,1,0,1,0,1,0,0,0,0,1477,0,0,0,1
